id,text_no_spaces,predicted_positions,predicted_text
371,подарюкотенкахорошимлюдям,"[6, 14, 22]",подарю котенках орошимлю дям
372,SamsungA54новый,[],SamsungA54новый
373,квартирастудиядолгосрочно,"[8, 15]",квартира студияд олгосрочно
374,ИвановИванСергеевич,[10],ИвановИван Сергеевич
375,ищуавтозапчастинаВАЗ,"[3, 8, 17]",ищу автоз апчастина ВАЗ
376,сломалсяпылесосSamsung,"[8, 13, 16]",сломался пылес осS amsung
377,срочнонуженмастер-сантехник,"[6, 8, 13]",срочно ну женма стер-сантехник
378,ищудешевыеавиабилеты,[11],ищудешевыеа виабилеты
379,куплюбилетывтеатр,"[1, 12, 14]",к уплюбилетыв те атр
380,новыйхолодильникдешево,"[5, 17]",новый холодильникд ешево
381,iPhone15Pro,[],iPhone15Pro
382,ремонтобувирядом,"[6, 9]",ремонт обу вирядом
383,сдамкомнатустуденту,[1],с дамкомнатустуденту
384,хочузаказатьсуши!,"[4, 13, 14]",хочу заказатьс у ши!
385,"ноутбукзависаетчасто,чтоделать","[2, 8, 17, 24, 28]","но утбукз ависаетча сто,что дела ть"
386,ЯндексЕданеработает,"[8, 13]",ЯндексЕд анера ботает
387,ищузапчастинаВАЗ2107,"[3, 12, 15]",ищу запчастин аВА З2107
388,ремонтiPhoneбыстро,"[6, 14]",ремонт iPhoneбы стро
389,хочукупитьсамокатребенку,"[4, 11, 19]",хочу купитьс амокатре бенку
390,ищурепетиторапоанглийскому,"[5, 14, 17]",ищуре петиторап оан глийскому
391,сдаюквартирупосуточно,"[1, 5, 14, 17]",с даюк вартирупо сут очно
392,доставкаедыМосква,"[8, 12]",доставка едыМ осква
393,продамкурткубу,[6],продам курткубу
394,куплюколесазима,[1],к уплюколесазима
395,ремонткомпьютеровнедорого,"[6, 18, 21]",ремонт компьютеровн едо рого
396,продаюстулIkea,[6],продаю стулIkea
397,автостеклозамена,[10],автостекло замена
398,нуженмастерпомебели,"[13, 16]",нуженмастерпо меб ели
399,куплюдетскуюколяску,"[1, 13]",к уплюдетскуюк оляску
400,продаюXboxSeriesS,[6],продаю XboxSeriesS
401,хочукупитьмороженое,"[5, 11]",хочук упитьм ороженое
402,ремонтiPhoneМосква,"[6, 14]",ремонт iPhoneМо сква
403,хочукофелатте,[5],хочук офелатте
404,"IKEAзакрылась,чтоделать?","[6, 16, 20]","IKEAза крылась,чт одел ать?"
405,ищуподругудляобщения,"[3, 11, 15]",ищу подругуд ляоб щения
406,срочнонуженрепетитор,"[6, 8, 13]",срочно ну женре петитор
407,"потерялпаспорт,помогите","[7, 16]","потерял паспорт,п омогите"
408,куплюдетскиевещи,"[1, 13]",к уплюдетскиев ещи
409,ремонтiPhoneсрочно,[6],ремонт iPhoneсрочно
410,ищуавтоспробегом,"[3, 9]",ищу автосп робегом
411,куплюiPhone12,"[1, 6]",к уплюi Phone12
412,новыйдивандоставка,"[5, 11]",новый диванд оставка
413,квартирасремонтомнедорого,"[8, 10, 19]",квартира ср емонтомне дорого
414,хочукупитьтелевизорSamsung,"[5, 11, 21]",хочук упитьт елевизорSa msung
415,срочнопродаювелосипедбу,"[6, 13]",срочно продаюв елосипедбу
416,ищустудентадляпомощи,"[12, 16]",ищустудентад ляпо мощи
417,МоскваСбербанкбанкомат,"[6, 15]",Москва Сбербанкб анкомат
418,ищумебельбунедорого,"[5, 12]",ищуме бельбун едорого
419,ноутбукAsusROG,"[2, 8]",но утбукA susROG
420,хочузаказатьпиццу,"[4, 13]",хочу заказатьп иццу
421,сдаюквартирунамесяц,"[1, 5, 14, 17]",с даюк вартируна мес яц
422,ищудешёвыйтелефон,"[3, 11]",ищу дешёвыйт елефон
423,продаммониторбу,"[6, 11]",продам монит орбу
424,ищуспециалистапоремонту,"[3, 15, 18]",ищу специалистап оре монту
425,куплюгитарунедорого,"[1, 12]",к уплюгитарун едорого
426,ищукнигупоистории,"[3, 5, 10, 13]",ищу кн игупо ист ории
427,старыйтелевизорработает,[6],старый телевизорработает
428,куплюсамокатдетский,"[1, 6, 14]",к уплюс амокатде тский
429,"ищусобаку,пропала","[3, 11]","ищу собаку,п ропала"
430,Аятанцуюпьяныйподдождём,[17],Аятанцуюпьяныйпод дождём
431,"Курилитолькосиги,есличё","[6, 13, 19]","Курили толькос иги,ес личё"
432,Нашобразжизнистанетпалачом,"[9, 15, 22]",Нашобразж изнист анетпал ачом
433,Нискольконежалеюниочём,"[10, 18, 21]",Нисколькон ежалеюни очё м
434,"Грустно,когдарасписанывсемаршруты","[8, 14, 24, 28]","Грустно, когдар асписанывс емар шруты"
435,Когданачасахважныминуты,"[5, 13, 20]",Когда начасахв ажнымин уты
436,Ивсенасветесталокак-тоскучноиглупо,"[1, 5, 8, 14, 20, 27]",И всен асв етеста локак- тоскучн оиглупо
437,"Мояшизазнает,когданажатьнаплей","[5, 14, 20, 27, 28]","Мояши зазнает,к огдана жатьнап л ей"
438,"Неждименяродная,закрывайназамокдверь","[5, 17, 25, 29]","Нежди меняродная,з акрывайн азам окдверь"
439,"Утродоброе,держименяфонарь","[5, 12, 18, 23]","Утрод оброе,д ержиме няфон арь"
440,"Очкитёмные,спрячьтемнеглаза","[4, 12, 19, 23, 26]","Очки тёмные,с прячьте мнег лаз а"
441,"Солнцеяркое,прошусогрейменя","[6, 13, 19]","Солнце яркое,п рошусо грейменя"
442,"Быловесело,ноябнеповторял","[4, 12]","Было весело,н оябнеповторял"
443,Якалендарьперевернул,"[1, 11]",Я календарьп еревернул
444,Исноватретьесентября,"[6, 13]",Иснова третьес ентября
445,Нафотоятвоёвзгляну,"[2, 9]",На фотоятв оёвзгляну
446,"Нопочему,нопочему","[2, 10, 13]","Но почему,н опо чему"
447,Расстатьсявсёженампришлось?,"[10, 14, 20]",Расстаться всёж енампр ишлось?
448,Ведьбыловсёунасвсерьёз,"[4, 9, 13, 15, 19]",Ведь былов сёун ас всер ьёз
449,Второгосентября,[7],Второго сентября
450,Журавлейбелыйклин,"[8, 14]",Журавлей белыйк лин
451,Твоядочьимойсын—,"[4, 9, 11, 15]",Твоя дочьи мо йсын —
452,Всехотяттеплотыиласки,"[3, 9, 18]",Все хотятт еплотыила ски
453,"Мывлюбовь,каквигру,","[2, 11, 15, 17]","Мы влюбовь,к акви гр у,"
454,Нахолодномветру,"[2, 11]",На холодномв етру
455,Поигралистобой,"[2, 9]",По игралис тобой
456,Нопришёлсамсобой,"[2, 9, 13]",Но пришёлс амсо бой
457,"Выцветшаятень,выжженнаяна","[9, 15]","Выцветшая тень,в ыжженнаяна"
458,Городскомландшафтеменязовёт,"[5, 14, 25]",Город скомландш афтеменязов ёт
459,Окнаянтарёмлижутмнеглаза,"[5, 12, 18]",Окная нтарёмл ижутмн еглаза
460,Кровьислепотаволокутвперёд,"[5, 7, 23]",Кровь ис лепотаволокутвпе рёд
461,Лёгкиеопухли,[6],Лёгкие опухли
462,Амороксквозьтолпу,"[6, 13]",Аморок сквозьт олпу
463,"Манит,игнорируяменя","[6, 16]","Манит, игнорируям еня"
464,Толькобыдогнал,"[6, 9]",Только быд огнал
465,Яегопочтидогнал,"[1, 5, 11]",Я егоп очтидо гнал
466,Телоисполняетсяогня,"[4, 16]",Тело исполняетсяо гня
467,"Сердцелупитмневгрудь,каквгонг","[4, 18, 26]","Серд целупитмневгру дь,каквг онг"
468,Расползаясьпососудамраскатами,"[6, 12, 15, 17, 24]",Распол заясьп осо су дамраск атами
469,Ветхийгородприменяетзакон,"[5, 7, 13, 23]",Ветхи йг ородпр именяетзак он
470,Чтобыдваблизнецаоказалисьразъятыми,"[5, 9, 18, 28]",Чтобы дваб лизнецаок азалисьраз ъятыми
471,"Ядавлюсь,изрыгаяогонь","[1, 10, 18]","Я давлюсь,и зрыгаяог онь"
472,Глоткамивоздуха,[8],Глотками воздуха
473,Наальвеолахраспятыми,"[2, 8, 13]",На альвео лахра спятыми
474,Вэтомстробоскопическомкино,"[1, 6, 24]",В этомс тробоскопическомки но
475,Длядостижениярубежа,"[3, 14]",Для достиженияр убежа
476,"Мненехватаетдыхания,но","[3, 6, 14]","Мне нех ватаетды хания,но"
477,Япродолжаючтоестьмочибежать,"[1, 11, 15, 20]",Я продолжаюч тоес тьмоч ибежать
478,Толькоменябеспокоитодно,"[6, 11, 21]",Только меняб еспокоитод но
479,Лёгкиебудтопоеларжа,"[6, 12, 16]",Лёгкие будтоп оела ржа
480,Япродолжаюзанимбежать,"[1, 11]",Я продолжаюз анимбежать
481,"Яананас,ятакойжекакон","[1, 10, 12, 18]","Я ананас,ят ак ойжека кон"
482,Колючийвнутриисовсехсторон,"[7, 15, 18, 23]",Колючий внутриис овс ехсто рон
483,Нешутисомной,"[5, 7]",Нешут ис омной
484,Ятропическийлев,[13],Ятропическийл ев
485,АркадийУкупник—кусающийлжец,"[7, 15, 17]",Аркадий Укупник— ку сающийлжец
486,"Тот,ктовпятнадцатьлетубежализдома,","[4, 8, 10, 21, 25]","Тот, ктов пя тнадцатьлет убеж ализдома,"
487,"Врядлипойметтого,ктоучилсявспецшколе.","[4, 7, 14, 20, 24, 31, 33]","Вряд лип ойметто го,кто учил сявспец шк оле."
488,"Тот,укогоестьхорошийжизненныйплан,","[4, 6, 11, 16, 24]","Тот, ук огоес тьхор ошийжизн енныйплан,"
489,Врядлибудетдуматьочем-тодругом.,"[4, 7, 13, 20, 28]",Вряд либ удетду матьоче м-тодруг ом.
490,"Мыпьемчайвстарыхквартирах,","[2, 10, 12, 19]","Мы пьемчайв ст арыхква ртирах,"
491,"Ждемлетавстарыхквартирах,","[3, 9, 11, 18]","Жде млетав ст арыхква ртирах,"
492,"Встарыхквартирах,гдеестьсвет,","[1, 8, 19, 23, 28]","В старыхк вартирах,гд еест ьсвет ,"
493,"Газ,телефон,горячаявода,","[4, 13, 21]","Газ, телефон,г орячаяво да,"
494,"Радиоточка,пол-паркет,","[4, 12]","Ради оточка,п ол-паркет,"
495,"Санузелраздельный,домкирпичный,","[7, 19, 23]","Санузел раздельный,д омки рпичный,"
496,"Однасемья,двесемьи,трисемьи...","[4, 11, 15, 22, 26]","Одна семья,д весе мьи,три семь и..."
497,"Многоподсобныхпомещений,",[15],"Многоподсобныхп омещений,"
498,"Первыйипоследний-непредлагать,","[6, 8, 18, 20, 23]","Первый ип оследний-н еп ред лагать,"
499,"Рядомсметро,центр...","[5, 7, 14]","Рядом см етро,це нтр..."
500,"Всеговорят,чтомыв-месте...","[3, 12, 16]","Все говорят,ч томы в-месте..."
501,"Всеговорят,нонемногиезнают,вкаком.","[3, 12, 15, 18, 25, 32]","Все говорят,н оне мно гиезнаю т,вкако м."
502,Аизнашихтрубидетнеобычныйдым.,"[1, 4, 10, 19]",А изн ашихтр убидетнео бычныйдым.
503,Стой!Опаснаязона!Работамозга!..,"[12, 18, 25]",Стой!Опасная зона!Р аботамо зга!..
504,Пожалуйстанеумирай,[],Пожалуйстанеумирай
505,Илимнепридетсятоже,"[3, 7, 17]",Или мнеп ридетсятож е
506,Тыконечносразуврай,"[2, 10, 16, 18]",Ты конечнос разувр ай
507,Аянедумаючтотоже,"[1, 3, 6, 12, 16]",А ян еду маючто тоже
508,Хочешьсладкихапельсинов,"[6, 14]",Хочешь сладкиха пельсинов
509,Хочешьвслухрассказдлинный,"[6, 8, 13, 21]",Хочешь вс лухра ссказдли нный
510,Хочешьявзорвувсезвезды,"[7, 9, 15, 19]",Хочешья вз орвувс езве зды
511,Чтомешаютспать,"[3, 10]",Что мешаютс пать
512,Пожалуйстатолькоживи,"[10, 17]",Пожалуйста толькож иви
513,Тыжевидишьяживутобою,"[2, 5, 14]",Ты жев идишьяжив утобою
514,Моейогромнойлюбви,"[4, 13]",Моей огромнойл юбви
515,Хватитнамдвоимсголовою,"[6, 10, 16, 18]",Хватит намд воимсг ол овою
516,Хочешьмореспарусами,"[6, 9]",Хочешь мор еспарусами
517,Хочешьмузыкновыхсамых,"[6, 12, 18]",Хочешь музыкн овыхса мых
518,Хочешьяубьюсоседей,"[7, 12]",Хочешья убьюс оседей
519,Хочешьсолнцевместолампы,"[6, 14]",Хочешь солнцевм естолампы
520,ХочешьзаокошкомАльпы,"[6, 9]",Хочешь зао кошкомАльпы
521,Хочешьяотдамвсепесни,"[7, 13, 17]",Хочешья отдамв сепе сни
522,Протебяотдамвсепесни,"[7, 13, 17]",Протебя отдамв сепе сни
523,"Яискалатебягодамидолгими,","[1, 8, 13, 20]","Я искалат ебяго дамидол гими,"
524,Искалатебядворамитемными.,"[1, 12, 20]",И скалатебядв орамитем ными.
525,"Вжурналах,вкино,средидрузей.","[1, 11, 13, 19, 25]","В журналах,в ки но,сре дидруз ей."
526,"Вдень,когданашла,сумасошла.","[1, 7, 13, 20, 25]","В день,к огдана шла,сум асошл а."
527,"Ты,совсемкаквосне,","[3, 6, 11, 15]","Ты, сов семка квос не,"
528,"Совсемкаквальбомах,","[2, 7, 11]","Со всемк аква льбомах,"
529,Гдеярисовалатебягуашью.,"[3, 13, 18]",Где ярисовалат ебягу ашью.
530,"Дальшебылизвонки,ночныебольше.","[6, 13, 20, 27]","Дальше былизво нки,ноч ныеболь ше."
531,"Слезы,нервы,любовьистрелкивПольше.","[6, 13, 20, 22, 30, 32]","Слезы, нервы,л юбовьис тр елкивПол ьш е."
532,"Дети,нонемои,старыезазнобы,","[5, 8, 11, 16, 23]","Дети, нон емо и,ста рыезазн обы,"
533,"Куришькаждыепять,мыусталиоба.","[6, 13, 19, 22]","Куришь каждыеп ять,мы уст алиоба."
534,...годамидолгими.,"[3, 10]",... годамид олгими.
535,...ночамитемными.,"[3, 6, 11]",... ноч амите мными.
536,"Искалатебядворамитемными,","[1, 12, 20]","И скалатебядв орамитем ными,"
537,"Вжурналах,вкино,годамидолгими,","[1, 11, 13, 19, 26]","В журналах,в ки но,год амидолг ими,"
538,"Искалатебяночами,чами,чами,чами...","[6, 19, 25, 31]","Искала тебяночами,ча ми,чам и,чами ..."
539,Большиегорода,"[6, 10]",Больши егор ода
540,Пустыепоезда,[6],Пустые поезда
541,Нибереганидна,[],Нибереганидна
542,Всеначинатьсначала,"[3, 12]",Все начинатьс начала
543,Холоднаявойна,[8],Холодная война
544,Ивремякаквода,"[1, 7, 11]",И времяк акво да
545,Оннесошелсума,"[2, 5, 11]",Он нес ошелсу ма
546,Тыничегонезнала,"[2, 9, 12]",Ты ничегон езн ала
547,Полковникуниктонепишет,"[9, 16, 19]",Полковник униктон епи шет
548,Полковниканиктонеждет,"[10, 16]",Полковника никтон еждет
549,Налинииогня,"[2, 8]",На линиио гня
550,Пустыегорода,"[5, 9]",Пусты егор ода
551,Вкоторыхникогда,"[1, 9]",В которыхн икогда
552,Тыраньшенебывала,"[2, 9, 12]",Ты раньшен ебы вала
553,Ирвутсяпоезда,[7],Ирвутся поезда
554,Натонкиеслова,"[2, 9]",На тонкиес лова
555,Ясижуисмотрювчужоенебоизчужогоокна,"[1, 6, 16, 22, 31]",Я сижуи смотрювчуж оенебо изчужогоо кна
556,Иневижуниоднойзнакомойзвезды.,"[1, 4, 9, 12, 17, 26]",И нев ижуни одн ойзна комойзвез ды.
557,"Яходилповсемдорогамитуда,исюда,","[1, 7, 10, 15, 22, 30]","Я ходилп овс емдор огамиту да,исюда ,"
558,Обернулся-инесмогразглядетьследы.,"[9, 10, 13, 16, 32]",Обернулся - ине смо гразглядетьследы .
559,"Ноеслиестьвкарманепачкасигарет,","[2, 7, 12, 14, 22, 28]","Но еслие стьвк ар манепачк асигар ет,"
560,Значитвсенетакужплохонасегодняшнийдень.,"[6, 10, 13, 19, 27]",Значит всен ета кужпло хонасего дняшнийдень.
561,"Ибилетнасамолетссеребристымкрылом,","[1, 7, 10, 18, 20, 32]","И билетн аса молетссе ре бристымкрыло м,"
562,"Что,взлетая,оставляетземлелишьтень.","[4, 13, 23, 29, 34]","Что, взлетая,о ставляетзе млелиш ьтень ."
563,"Иниктонехотелбытьвиноватымбезвина,","[6, 9, 15, 20, 30]","Иникто нех отелбы тьвин оватымбезв ина,"
564,"Иниктонехотелрукамижарзагребать,","[6, 9, 15, 22, 26]","Иникто нех отелру камижар загр ебать,"
565,"Абезмузыкинамирусмертьнекрасна,","[4, 11, 19, 26]","Абез музыкин амирусме ртьнекр асна,"
566,Абезмузыкинехочетсяпропадать.,"[1, 5, 12, 15, 23]",А безм узыкине хоч етсяпроп адать.
567,"Призрачновсевэтоммиребушующем,","[9, 13, 15, 20, 25]","Призрачно всев эт оммир ебушу ющем,"
568,Естьтолькомиг-занегоидержись.,"[4, 11, 18, 23]",Есть тольком иг-зане гоиде ржись.
569,"Естьтолькомигмеждупрошлымибудущим,-","[4, 11, 15, 21, 30]","Есть тольком игме ждупро шлымибуду щим,-"
570,Именноонназываетсяжизнь.,"[6, 9, 20]",Именно онн азываетсяжи знь.
571,"Вечныйпокойсердцеврядлиобрадует,","[6, 12, 20, 24, 27]","Вечный покойс ердцевря длио бра дует,"
572,Вечныйпокой-дляседыхпирамид.,"[6, 12, 14, 18, 24]",Вечный покой- дл ясед ыхпира мид.
573,"Адлязвезды,чтосорваласьипадает","[1, 5, 13, 17, 27, 29]","А дляз везды,чт осор валасьипад ае т"
574,"Естьтолькомиг,ослепительныймиг.","[4, 11, 16, 31]","Есть тольком иг,ос лепительныймиг."
575,"Пустьэтотмирвдальлетитсквозьстолетия,","[5, 10, 14, 16, 26, 33]","Пусть этотм ирвд ал ьлетитскво зьстоле тия,"
576,"Ноневсегдаподорогемнесним,","[2, 5, 12, 15, 22]","Но нев сегдапо дор огемнес ним,"
577,"Чемдорожу,чемрискуюнасветея?","[3, 11, 15, 22, 25]","Чем дорожу,ч емри скуюнас вет ея?"
578,"Мигомодним,толькомигомодним.","[5, 12, 19, 25]","Мигом одним,т олькоми гомодн им."
579,Счастьеданоповстречатьильбедуеще,"[6, 12, 24]",Счасть еданоп овстречатьил ьбедуеще
580,Естьтолькомиг-занегоидержись!,"[4, 11, 18, 23]",Есть тольком иг-зане гоиде ржись!
581,Волкиуходятвнебеса.,"[5, 12, 14]",Волки уходятв не беса.
582,Горятхолодныеглаза.,"[5, 14]",Горят холодныег лаза.
583,Приказаверитьвчудеса,"[5, 14, 16]",Прика заверитьв чу деса
584,Непоступало.,[2],Не поступало.
585,"Икаждыйденьдругаяцель,","[1, 8, 13, 20]","И каждыйд еньдр угаяцел ь,"
586,"Тостеныгор,тогорыстен","[2, 8, 13, 18]","То стеныг ор,то горыс тен"
587,Иждётотчаянныхгостей,"[5, 15]",Иждёт отчаянныхг остей
588,Чужаястая.,[5],Чужая стая.
589,"Спиной,",[7],"Спиной,"
590,Кветруивсёже,"[1, 7, 9]",К ветруи вс ёже
591,Вырватьсяможет,[9],Вырваться может
592,Чья-тодуша.,[6],Чья-то душа.
593,"Спасёт,",[7],"Спасёт,"
594,Нонепоможет,"[2, 5]",Но неп оможет
595,"Чувствуюкожей,",[8],"Чувствую кожей,"
596,Пропащая.,[],Пропащая.
597,"Непомнятслов,невидятснов","[2, 9, 15, 18]","Не помнятс лов,не вид ятснов"
598,Перерослисвоихотцов.,"[9, 15]",Переросли своихо тцов.
599,"И,кажется,рукабойцов","[2, 11, 16]","И, кажется,р укабо йцов"
600,Колотьустала.,[6],Колоть устала.
601,Позорислававихкрови,"[12, 16]",Позориславав ихкр ови
602,Хватаетсмертиилюбви,"[7, 15]",Хватает смертиил юбви
603,Носкольковолканекорми,"[9, 15, 18]",Носколько волкан еко рми
604,Емувсемало.,"[3, 7]",Ему всем ало.
605,"Волкиуходят,",[5],"Волки уходят,"
606,Волкиуходят...,[5],Волки уходят...
607,"Всёизчегомоисомнениясотканы,тонко.","[3, 6, 11, 15, 24]","Всё изч егомо исом нениясотк аны,тонко."
608,"Какойчудесныйдень,мояструитсялень","[5, 14, 20, 24, 33]","Какой чудесныйд ень,мо ястр уитсялень"
609,Награнипросветления,[2],На гранипросветления
610,Сияетшамбалаинежитсядуша,"[5, 9, 23]",Сияет шамб алаинежитсядуш а
611,Внирваневоскресения.,"[1, 5, 10]",В нирв анево скресения.
612,"О,каклегкомоивоспоминаниявыцвели","[2, 6, 10, 16, 29]","О, какл егко моивос поминаниявыцв ели"
613,Ктоятакойипочемусбиваютсямысли.,"[3, 5, 11, 13, 19, 29]",Кто ят акойип оч емусби ваютсямысл и.
614,"Верхомназвезде,",[6],"Верхом назвезде,"
615,"Вцепившисьвлучи,","[1, 11, 13]","В цепившисьв лу чи,"
616,Слунойнаповодке,"[6, 9]",Слуной нап оводке
617,Вночи,[1],В ночи
618,Верхомназвезде,[6],Верхом назвезде
619,"Несусьнавстречуветрам,","[6, 9, 17]","Несусь нав стречуве трам,"
620,Кнесбывшейсямечте,"[1, 5, 14]",К несб ывшейсяме чте
621,Иснам,[1],И снам
622,"О,жизнь,тыпрекрасна,","[2, 9, 12]","О, жизнь,т ыпр екрасна,"
623,"О,жизнь,тыпрекраснавполне.","[2, 9, 12, 22]","О, жизнь,т ыпр екраснавпо лне."
624,Бываешьнемногоопасна.О-е.,"[7, 15]",Бываешь немногоо пасна.О-е.
625,"Возьмимоесердце,","[6, 10]","Возьми моес ердце,"
626,"Храни,вспоминайобомне,","[6, 15, 17]","Храни, вспоминай об омне,"
627,"Поверьмне,чтовсененапрасно.","[11, 15]","Поверьмне,ч товс ененапрасно."
628,"Надлесом,рекой,",[10],"Надлесом,р екой,"
629,Потеряннавсегда,"[7, 10]",Потерян нав сегда
630,Покой.,[],Покой.
631,Верхомназвезде.,[6],Верхом назвезде.
632,Mitornodiaboloesta.,[7],Mitorno diaboloesta.
633,Билетводинконец—,"[5, 7]",Билет во динконец—
634,Весна,[],Весна
635,Исоздалэтотмир,"[1, 8, 13]",И создалэ тотми р
636,Ясам,[1],Я сам
637,Верьмне…,[4],Верь мне…
638,Ямаленькаялошадка,[],Ямаленькаялошадка
639,Имнеживётсянесладко,"[2, 5, 13]",Им неж ивётсяне сладко
640,Мнетруднонестимоюношу,"[3, 10, 16, 20]",Мне труднон естимо юнош у
641,"Настанетдень,ияеёброшу","[2, 9, 15, 17]","На станетд ень,ия её брошу"
642,Ностоюоченьмногоденег,"[2, 7, 13, 19]",Но стоюо ченьмн огоден ег
643,Иявезусвоюбольшуюповозку,"[1, 3, 8, 13, 21]",И яв езусв оюбол ьшуюпово зку
644,Стогонаэтотберег,"[5, 8, 13]",Стого наэ тотбе рег
645,"Мнехочетсяплакать,мнехочетсясмеяться","[3, 11, 20, 22, 25, 33]","Мне хочетсяп лакать,мн ех оче тсясмеят ься"
646,"Мнехочетсяпрыгать,валятьсяибрыкаться","[3, 11, 20, 29, 31]","Мне хочетсяп рыгать,ва лятьсяибр ык аться"
647,"Чтобыбылидрузьяили,хотябыодин","[5, 10, 17, 22, 27]","Чтобы былид рузьяил и,хот ябыод ин"
648,"Нояработаю,каквол,вмоейтележкекокаин","[2, 4, 13, 17, 22, 24, 29]","Но яр аботаю,ка квол ,вмое йт ележк екокаин"
649,"Яумруоченьрано,иязнаюобэтом","[1, 6, 12, 18, 20]","Я умруо ченьра но,ияз на юобэтом"
650,"Можетбытьневесной,можетбытьраннимлетом","[5, 10, 20, 26, 31]","Может бытьн евесной,мо жетбыт ьранн имлетом"
651,"Ялюблюслушатьпесни,икостранюхатьдым","[1, 7, 15, 22, 24, 32]","Я люблюс лушатьпе сни,ико ст ранюхать дым"
652,"Нонельзямнеотвлекаться,явезукокаин","[2, 5, 11, 14, 27, 29]","Но нел ьзямне отв лекаться,явез ук окаин"
653,"Яусталаужасно,яхочуотдохнуть","[1, 8, 16, 18, 23, 26]","Я усталау жасно,ях оч уотдо хну ть"
654,Съестьмешковдесятьсенаинадолгоуснуть,"[6, 13, 20, 28]",Съесть мешковд есятьсе наинадол гоуснуть
655,Яхочукперелётнымптицамвклинитьсявклин,"[1, 6, 8, 19, 26]",Я хочук пе релётнымпти цамвкли нитьсявклин
656,"Ноработаважней,заспинойкокаин","[2, 9, 17, 20, 27]","Но работав ажней,за спи нойкока ин"
657,"Мнепротивноитрудно,нонельзяотступить","[3, 13, 21, 24, 32]","Мне противноит рудно,но нел ьзяотсту пить"
658,"Хотьихочетсяесть,хотьихочетсяпить","[4, 7, 14, 20, 25, 28]","Хоть ихо четсяес ть,хот ьихоч етс япить"
659,Мыкогда-нибудьзаэтовадскомпламенисгорим,"[2, 8, 19, 23, 31]",Мы когда- нибудьзаэто вадс компламе нисгорим
660,"Новсёэтопотом,авданныймоменткокаин","[2, 6, 10, 17, 19, 21, 28]","Но всёэ топо том,авд ан ны ймомент кокаин"
661,"Мнеобидно,икапаютслёзы","[3, 11, 13, 20]","Мне обидно,и ка паютслё зы"
662,Когдамнеподногикидаютрозы,"[5, 9, 24]",Когда мнеп одногикидаютроз ы
663,Когдалюдинаулицахивокнахквартир,"[5, 10, 13]",Когда людин аул ицахивокнахквартир
664,Менявстречаютиустраиваютпирнавесьмир,"[4, 14, 16, 27, 33]",Меня встречаюти ус траиваютпир навесь мир
665,Мнерадыдажемалыедети,"[3, 8, 13, 19]",Мне радыд ажема лыедет и
666,Мнемашутдажедеревьевветви,"[3, 9, 14, 23]",Мне машутд ажеде ревьеввет ви
667,"Меняприветствуютвсе,все,какодин","[4, 17, 22, 27, 31]","Меня приветствуютв се,вс е,как один"
668,Япривезлаимновыймир,"[1, 10, 13]",Я привезлаи мно выймир
669,Япривезлакокаин,"[1, 10]",Я привезлак окаин
670,ВпиласьзанозойвсердцемоестрелаКупидона,"[7, 10, 16, 18, 35]",Впилась зан озойвс ер дцемоестрелаКупид она
671,Хочетсявытащитьиникогданедуматьобэтом,"[7, 16, 18, 26, 29, 36]",Хочется вытащитьи ни когданед ума тьобэто м
672,Больнестерпимаимнедосихпорбыланезнакома,"[4, 15, 18, 21, 24, 28, 32, 37]",Боль нестерпимаи мне дос ихп орбы лане знако ма
673,Солнцебезжалостновыжглоглазасвоимяркимсветом,"[6, 18]",Солнце безжалостнов ыжглоглазасвоимяркимсветом
674,"Однаонаповсюду,гдебынескрылсяя","[4, 8, 11, 18, 22, 25]","Одна онап овс юду,где быне скр ылсяя"
675,Вовсехглазахилицахтолькооднаона,"[2, 7, 13, 21, 28]",Во всехг лазахи лицахтол ькоодна она
676,"Большенетместа,гдебыямогзализыватьраны","[6, 10, 17, 21, 24, 30]","Больше нетм еста,гд ебыя мог зализы ватьраны"
677,Крыльяразбитыителомоевовластигангрены,"[6, 14, 16, 27]",Крылья разбитыи те ломоевовлас тигангрены
678,"Силбольшенет,нетсна,лишьстрахпостоянный","[3, 10, 15, 19, 24, 30, 36]","Сил большен ет,не тсна ,лишь страхп остоян ный"
679,Лишьголоствойвмоейголовеибелыестены,"[4, 13, 15, 17, 22, 30]",Лишь голоствой вм ое йголо веибелые стены
680,Лишьоднаона,"[4, 9]",Лишь однао на
681,ВпилосьзанозойвсердцемоестрелаКупидона,"[7, 10, 16, 18]",Впилось зан озойвс ер дцемоестрелаКупидона
682,Злобныйуродецникакнеоставитвпокое,"[7, 14, 20, 23, 31]",Злобный уродецн икакне ост авитвпок ое
683,"Пустьбудетбольно,силынайдуивыдернускорнем","[5, 11, 19, 24, 30, 32, 40]","Пусть будетб ольно,си лынай дуивыд ер нускорне м"
684,"Новаяжизнь.Нужнопонять,чтоэтотакое","[5, 17, 25, 29, 33]","Новая жизнь.Нужноп онять,чт оэто тако е"
685,Лишьона,[4],Лишь она
686,Жизньиногдавыпускаетжало,"[5, 12, 22]",Жизнь иногдав ыпускаетжа ло
687,"Стираяпрошлое,словновирус","[6, 15, 22]","Стирая прошлое,с ловнови рус"
688,Икхоккеистуженасбежала,"[1, 3, 13, 18]",И кх оккеистуже насбе жала
689,Инаработеполнешийминус,"[1, 4, 11, 20]",И нар аботепо лнешиймин ус
